147|asleep|眠っている|250||0|0|0
148|aspect|面|406||0|0|0
149|assault|暴行|87||0|0|0
150|assemble|…を組み立てる|185||0|0|0
151|assembly|集まり|197||0|0|0
152|assert|…だと主張する|235||0|0|0
153|assess|…を評価する|357||0|0|0
154|assign|…を割り当てる|50||0|0|0
155|assignment|仕事|408||0|0|0
156|assistance|援助|248||0|0|0
157|assistant|助手|198||0|0|0
158|associate|同僚|354||0|0|0
159|assumption|想定|390||0|0|0
160|assure|…を確約する|182||0|0|0
161|asteroid|小惑星|240||0|0|0
162|astonish|…をびっくりさせる|3||0|0|0
163|astonishing|びっくりな|181||0|0|0
164|astronaut|宇宙飛行士|168||0|0|0
165|astronomer|天文学者|215||0|0|0
166|athletic|運動競技の|181||0|0|0
167|atmosphere|大気，雰囲気|31|190|0|0|0
168|attach|…を添付する|224||0|0|0
169|attack|攻撃|155||0|0|0
170|attain|…を達成する|266||0|0|0
171|attempt|試み|101|229|0|0|0
172|attend|…に出席する|270||0|0|0
173|attention|注意|167||0|0|0
174|attire|服装|167||0|0|0
175|attorney|弁護士|172||0|0|0
176|attract|…を引き寄せる|402||0|0|0
177|attractive|魅力的な|23||0|0|0
178|audience|聴衆|402||0|0|0
179|authority|権威，当局|141|340|0|0|0
180|autobiography|自伝|239||0|0|0
181|autumn|秋|3||0|0|0
182|available|手に入る|21|261|0|0|0
183|average|平均|1||0|0|0
184|avoid|…を避ける|128||0|0|0
185|award （名詞）|賞|207||0|0|0
186|award （動詞）|…を授与する|340||0|0|0
187|aware|気づいている|219||0|0|0
188|awful|ひどい|30||0|0|0
189|awfully|ひどく|111||0|0|0
190|awkward|不器用な|279||0|0|0
191|bachelor|独身男性|405||0|0|0
192|back (名詞)|背中|392||0|0|0
193|background|背景|68||0|0|0
194|badly|悪く|118||0|0|0
195|baggage|荷物|20||0|0|0
196|bald|禿げた|315||0|0|0
197|ban|…を禁止する|149||0|0|0
198|banish|…を国外に追放する|129||0|0|0
199|bankrupt|倒産した|27||0|0|0
200|banquet|晩餐会|270||0|0|0
201|bar (動詞)|…の行為を妨げる|216||0|0|0
202|barely|かろうじて|26|410|0|0|0
203|bargain|交渉をする|343||0|0|0
204|barren|不毛の|194||0|0|0
205|base|基地|155||0|0|0
206|basic|基本的な|194|311|0|0|0
207|basis|基礎|367||0|0|0
208|battery|電池|55||0|0|0
209|battle|戦い|96|161|0|0|0
210|battleship|戦艦|175||0|0|0
211|bead|玉|46||0|0|0
212|beam|微笑む|281||0|0|0
213|bear (動詞)|…を負う|22||0|0|0
214|beat|繰り返し打つ|134||0|0|0
215|beauty|美点|295||0|0|0
216|beer|ビール|46||0|0|0
217|before (副詞)|以前に|82||0|0|0
218|beg|懇願する|377||0|0|0
219|behave|振る舞う|277||0|0|0
220|behavior|振る舞い|171||0|0|0
221|belief|信じること|368||0|0|0
222|below|…より下に|328||0|0|0
223|bend|…を曲げる|392||0|0|0
224|beneath|…より下に|297||0|0|0
225|beneficial|有益な|76||0|0|0
226|benefit|給付|227||0|0|0
227|beside|…の隣に|55||0|0|0
228|besides|…に加え|91|366|0|0|0
229|best man （the ～）|花婿の付添人|(the ～ ) 173||0|0|0
230|betray|…を裏切る|70||0|0|0
231|beyond|…を越えて|204||0|0|0
232|Big Apple (the ～ )|ニューヨーク|243||0|0|0
233|bike|自転車|28||0|0|0
234|bill|法案|193||0|0|0
235|billion|10億|240|386|0|0|0
236|billionaire|億万長者|255||0|0|0
237|biological|生物学の|238||0|0|0
238|biology|生物学|36||0|0|0
239|birth|誕生|36||0|0|0
240|bit|少額|281||0|0|0
241|bitterly|ひどく|193||0|0|0
242|black|黒人の|100||0|0|0
243|blame|…を非難する|388||0|0|0
244|blank|空欄|224||0|0|0
245|bleak|見通しが暗い|17||0|0|0
246|blind|盲目の|9||0|0|0
247|blood|血|180||0|0|0
248|blunder|へま|167||0|0|0
249|blunt|無遠慮な|283||0|0|0
250|bluntly|あからさまに|388||0|0|0
251|board|重役グループ|176||0|0|0
252|boast|自慢する|363||0|0|0
253|body|団体|222||0|0|0
254|bold|大胆な|53|188|0|0|0
255|bomb|爆弾|20||0|0|0
256|bomber|爆撃機|393||0|0|0
257|book (動詞)|…を予約する|93||0|0|0
258|books|帳簿|198||0|0|0
259|border|国境|99||0|0|0
260|bored|退屈している|29||0|0|0
261|boring|退屈な|8||0|0|0
262|borrow|…を借りる|183||0|0|0
263|boss|上司|117||0|0|0
264|botanical|植物学の|337||0|0|0
265|both|両方（の）|249|365|0|0|0
266|bottle|瓶|304||0|0|0
267|bottom|底|257||0|0|0
268|bow|お辞儀をする|48||0|0|0
269|boyfriend|恋人|22|407|0|0|0
270|brain|脳|382||0|0|0
271|brand-new|新品の|98||0|0|0
272|brave|勇敢な|414||0|0|0
273|breast|胸|36||0|0|0
274|breath|息|114||0|0|0
275|bribe|賄賂|373||0|0|0
276|bride|花嫁|173||0|0|0
277|bridesmaid|花婿の付添人|173||0|0|0
278|brightly|明るく|190||0|0|0
279|brilliant|素晴らしい|355||0|0|0
280|British|英国（人）の|221||0|0|0
281|broadcast|…を放送する|208||0|0|0
282|bronze|青銅|218||0|0|0
283|buck|ドル|126||0|0|0
284|budget|予算|386||0|0|0
285|bug|虫|410||0|0|0
286|build|…を建設する|104||0|0|0
287|building|建物|59||0|0|0
288|bullet|弾丸|68||0|0|0
289|bully|…をいじめる|252||0|0|0
290|bump|ぶつかる|5|279|0|0|0
291|bunch|束|243||0|0|0
292|burden|重荷|84||0|0|0
293|bureaucrat|官僚|346||0|0|0
294|burglar|強盗|64||0|0|0
295|burn|…を燃やす|387||0|0|0
296|burst|破裂する|331||0|0|0
297|bury|…を埋める|154||0|0|0
298|bush|低木|146||0|0|0
299|business|商売|103||0|0|0
300|but （副詞）|ただの…|67||0|0|0
301|but （前置詞）|…を除き|62||0|0|0
302|cab|タクシー|201||0|0|0
303|cabinet|内閣|308||0|0|0
304|calamity|災害|275||0|0|0
305|calculation|計算|156||0|0|0
306|calm|穏やかな|132||0|0|0
307|campaign|（政治・社会的）運動|65||0|0|0
308|can (名詞)|缶|304||0|0|0
309|can't|…のはずがない|300||0|0|0
310|cancel|…を取り消す|199||0|0|0
311|cancer|ガン|57||0|0|0
312|candid|率直な|397||0|0|0
313|candidate|候補者|14||0|0|0
314|capable|能力がある|220||0|0|0
315|capital|首都|211||0|0|0
316|capitalism|資本主義|262||0|0|0
317|captain|船長|264||0|0|0
318|capture|…を捉える|377||0|0|0
319|care|世話|191||0|0|0
320|career|経歴|355||0|0|0
321|careless|不注意な|279||0|0|0
322|cargo|貨物|54||0|0|0
323|case|場合|140|233|0|0|0
324|cash|現金|126|287|0|0|0
325|castle|城|145||0|0|0
326|casual|気軽な|151||0|0|0
327|catastrophe|大惨事|16||0|0|0
328|cathedral|大聖堂|72||0|0|0
329|Catholic|カトリック教徒|75||0|0|0
